customer_state,payment_value
AC,235.9789156626506
AL,229.18683698296834
AM,182.75615894039734
AP,233.93927536231882
BA,169.75900086132643
CE,198.77399999999997
DF,161.5995191409897
ES,153.61830270793038
GO,163.30934049829017
MA,201.22681198910084
MG,154.12896034570412
MS,186.17941828254848
MT,199.60585258525853
PA,216.1340978593272
PB,250.15362976406533
PE,185.40767246550692
PI,208.87335317460318
PR,152.4506823942289
RJ,158.08369165705497
RN,197.11996086105677
RO,226.99482071713146
RR,220.47609756097563
RS,155.39692293809782
SC,162.57834789732388
SE,204.32886627906979
SP,136.3806291375071
TO,203.41481355932206
