product_category_name_english,freight_value
agro_industry_and_commerce,5843.6
air_conditioning,6749.23
art,4045.17
arts_and_craftmanship,370.13
audio,5710.44
auto,92664.21
baby,68326.11
bed_bath_table,204693.04
books_general_interest,9195.52
books_imported,769.85
books_technical,4283.06
cds_dvds_musicals,224.98999999999998
christmas_supplies,3229.2999999999997
cine_photo,1256.2
computers,9836.3
computers_accessories,147318.08
consoles_games,19828.02
construction_tools_construction,20650.41
construction_tools_lights,7583.8
construction_tools_safety,3919.1
cool_stuff,84039.1
costruction_tools_garden,5311.4
costruction_tools_tools,2030.22
diapers_and_hygiene,573.68
drinks,5741.25
dvds_blu_ray,1288.74
electronics,46578.32
fashio_female_clothing,621.75
fashion_bags_accessories,31450.0
fashion_childrens_clothes,95.51
fashion_male_clothing,2152.41
fashion_shoes,4918.87
fashion_sport,578.13
fashion_underwear_beach,1916.19
fixed_telephony,4637.81
flowers,488.87
food,7271.03
food_drink,4507.99
furniture_bedroom,4632.23
furniture_decor,172749.3
furniture_living_room,17968.170000000002
furniture_mattress_and_upholstery,1630.46
garden_tools,98962.75
health_beauty,182566.73
home_appliances,14818.9
home_appliances_2,10600.18
home_comfort_2,410.31
home_confort,8501.23
home_construction,13832.24
housewares,146149.11
industry_commerce_and_business,7884.68
kitchen_dining_laundry_garden_furniture,11999.43
la_cuisine,333.55
luggage_accessories,30445.23
market_place,5456.06
music,690.51
musical_instruments,18638.49
office_furniture,68571.95
party_supplies,827.97
perfumery,54213.84
pet_shop,39561.24
security_and_services,41.22
signaling_and_security,6507.820000000001
small_appliances,16020.25
small_appliances_home_oven_and_coffee,2747.86
sports_leisure,168607.51
stationery,46798.48
tablets_printing_image,1226.2
telephony,71215.79
toys,77425.95
watches_gifts,100535.93
