customer_city,payment_value
abadia dos dourados,413.5
abadiania,1025.52
abaete,1792.58
abaetetuba,4672.2699999999995
abaiara,332.15
abaira,203.0
abare,224.73
abatia,220.19
abdon batista,156.7
abelardo luz,797.5799999999999
abrantes,200.35
abre campo,367.29
abreu e lima,2871.92
acaiaca,207.9
acailandia,1233.48
acajutiba,50.95
acarau,1639.94
acari,412.43
acegua,282.39
acopiara,901.67
acreuna,1306.45
acu,553.4499999999999
acucena,54.11
adamantina,6108.5
adhemar de barros,166.29
adolfo,441.59000000000003
adrianopolis,89.17
adustina,102.27
afogados da ingazeira,1596.3899999999999
afonso claudio,1767.92
afranio,448.03999999999996
agisse,56.37
agrestina,2066.34
agrolandia,60.91
agronomica,281.5
agua boa,3358.86
agua branca,661.1
agua clara,259.16999999999996
agua comprida,140.65
agua doce,336.05
agua doce do norte,463.52
agua fria de goias,167.81
agua limpa,416.8
agua nova,77.67
agua preta,147.34
agua santa,227.59
aguai,2370.7999999999997
aguas belas,1041.4
aguas claras,116.96
aguas da prata,1257.57
aguas de lindoia,3758.36
aguas de santa barbara,202.03
aguas de sao pedro,304.03
aguas formosas,1580.57
aguas frias,318.98
aguas lindas de goias,2788.8
aguas mornas,104.52
aguas vermelhas,692.89
agudo,32.1
agudos,1508.95
aguia branca,31.13
aimores,1166.62
aiuaba,147.38
aiuruoca,365.03000000000003
ajapi,121.34
ajuricaba,245.37
alagoa,93.98
alagoa grande,178.52
alagoa nova,164.29
alagoinha,339.52000000000004
alagoinhas,7428.33
alambari,228.94
alcantara,464.86
alcinopolis,952.35
alcobaca,1481.8999999999999
alegre,3265.01
alegrete,5296.24
alegrete do piaui,173.88
alegria,58.28
alem paraiba,3548.32
alexandra,51.31
alexandria,221.92
alexandrita,130.0
alexania,568.25
alfenas,6539.45
alfredo chaves,1052.61
alfredo marcondes,169.23
alfredo vasconcelos,616.74
alfredo wagner,844.67
alhandra,1307.91
alianca,89.93
alianca do tocantins,264.0
almas,113.56
almenara,3212.33
almino afonso,470.01
almirante tamandare,5041.83
almirante tamandare do sul,65.0
alpercata,260.77
alpestre,136.98
alpinopolis,969.45
alta floresta,4133.89
alta floresta d'oeste,805.5
altamira,6399.82
altamira do parana,307.11
altaneira,496.26
alterosa,308.64
altinho,50.94
altinopolis,1506.04
alto alegre,366.40999999999997
alto alegre do iguacu,227.25
alto alegre do maranhao,123.32
alto alegre do pindare,259.56
alto araguaia,1228.13
alto boa vista,581.99
alto caparao,522.0799999999999
alto do rodrigues,3346.7000000000003
alto garcas,340.06
alto horizonte,285.15
alto jequitiba,275.43
alto paraiso,1333.91
alto paraiso de goias,1963.35
alto parana,451.84
alto parnaiba,948.0999999999999
alto piquiri,432.5
alto rio doce,278.55
alto rio novo,327.23
alto santo,801.01
alto sao joao,73.25
alto taquari,821.17
altonia,557.1800000000001
altos,1560.87
aluminio,1500.64
alvarenga,245.10999999999999
alvares florence,227.23
alvares machado,4227.42
alvaro de carvalho,399.0
alvinopolis,1020.96
alvorada,9323.06
alvorada d'oeste,430.1
alvorada do gurgueia,87.85
alvorada do norte,221.72
amambai,890.69
amanari,419.39
amapa do maranhao,50.05
amapora,180.65
amaraji,521.89
amarante,953.8399999999999
amargosa,71.81
amelia rodrigues,430.02000000000004
america dourada,217.92
americana,28142.82
americano do brasil,346.28999999999996
americo brasiliense,2688.89
americo de campos,293.36
ametista do sul,275.51
amontada,81.57
amparo,12606.72
amparo da serra,66.06
ampere,1788.04
anadia,462.59999999999997
anage,97.38
analandia,575.7
ananas,122.76
ananindeua,20777.66
anapolis,20029.82
anastacio,153.35
anaurilandia,86.24
anchieta,2745.38
andarai,109.5
andira,1688.5900000000001
andorinha,797.61
andradas,4595.969999999999
andradina,7089.02
andre da rocha,146.13
andrelandia,169.06
andrequice,215.14
angatuba,983.03
angelica,76.86
angelina,142.05
